|id|REGION-CENTROID-COL|REGION-CENTROID-ROW|REGION-PIXEL-COUNT|SHORT-LINE-DENSITY-5|SHORT-LINE-DENSITY-2|VEDGE-MEAN|VEDGE-SD|HEDGE-MEAN|HEDGE-SD|INTENSITY-MEAN|RAWRED-MEAN|RAWBLUE-MEAN|RAWGREEN-MEAN|EXRED-MEAN|EXBLUE-MEAN|EXGREEN-MEAN|VALUE-MEAN|SATURATION-MEAN|HUE-MEAN
0|0|105|110|9|0.0|0.0|0.5|0.12222223|1.9444445|2.3740728|4.222222299999999|4.3333335|6.3333335|2.0|0.33333334|6.3333335|-6.666666499999999|6.3333335|0.7083333|-1.5397618999999998
1|1|36|189|9|0.0|0.0|1.9444441000000003|2.4629607000000004|5.8333335|21.588884|31.37037|28.444445|38.0|27.666665999999996|-8.777778|19.88889|-11.111111|38.0|0.2663022|-2.0203453999999996
2|2|252|71|9|0.0|0.0|0.7222214|0.32962844|1.3333334|0.71110994|89.14815|72.77778|115.55556000000001|79.111115|-49.11111|79.22222|-30.111109999999996|115.55556000000001|0.37009746|-2.2494755
3|3|10|61|9|0.11111111|0.0|2.2222218999999996|3.185182|3.1111107000000002|7.185185000000001|18.962963000000002|18.666667999999998|24.222220999999998|14.0|-0.8888889000000001|15.777778|-14.888889|24.222220999999998|0.41952246|-1.5912062
4|4|7|18|9|0.0|0.0|1.2777786|0.7296265000000001|0.9444453000000002|0.37407914|138.62962|133.33334|147.55556|135.0|-15.888889|26.777779|-10.888889|147.55556|0.09635223400000001|-2.2146115
5|5|164|83|9|0.11111111|0.0|2.5|6.077768|1.5555558999999999|0.78518397|66.25926|60.22221999999999|79.66667|58.88889|-18.11111|40.22222|-22.11111|79.66667|0.26032928|-2.0277708
6|6|187|36|9|0.0|0.0|0.38888884|0.2509243|0.4999999|0.2788868|7.5185184000000005|4.777777700000001|13.0|4.777777700000001|-8.222222|16.444445|-8.222222|13.0|0.6486569000000001|-2.0972927
7|7|239|122|9|0.0|0.0|0.27777776|0.06296293|0.33333334|0.17777774|5.5555553|7.0|6.666666499999999|3.0|4.3333335|3.3333333|-7.666666499999999|7.222222299999999|0.5813491999999999|-0.95343477
8|8|254|73|9|0.0|0.0|6.666666499999999|7.865538000000001|9.444445|12.33003|34.703705|20.555555|57.33333199999999|26.222221|-42.444443|67.888885|-25.444445|57.33333199999999|0.6511328000000001|-2.2555614
9|9|181|87|9|0.0|0.0|1.2222239|0.47406909999999997|0.7777786|0.20740585|135.40741|127.88888500000002|146.44444|131.88889|-22.555555|33.11111|-10.555555|146.44444|0.12657078|-2.3128740000000003
10|10|186|162|9|0.0|0.0|1.6111122|0.59629595|12.388888|66.818535|44.074073999999996|37.444443|54.66666800000001|40.11111|-19.88889|31.777779|-11.888889|54.66666800000001|0.30150759999999993|-2.3866708
11|11|147|111|9|0.0|0.0|0.38888893|0.15185179999999998|0.44444449999999996|0.118518546|5.6666665|7.0|7.0|3.0|4.0|4.0|-8.0|7.333333500000001|0.59126985|-1.0414338
12|12|228|143|9|0.0|0.0|0.50000006|0.3444443|0.6666668|0.31111094|5.296296|6.666666499999999|6.222222299999999|3.0|4.111111|2.7777777|-6.888889|6.777777700000001|0.5564374|-0.9148125
13|13|129|188|9|0.0|0.0|3.6666667|2.0110817|4.6111107|2.4075518|61.074073999999996|53.77778000000001|76.0|53.44444300000001|-21.88889|44.77778|-22.88889|76.0|0.30013013|-2.0790954
14|14|90|122|9|0.11111111|0.0|1.6666668999999998|1.398412|1.1666669|0.69121486|16.185184|10.222222|25.333334|13.0|-17.88889|27.444445|-9.555555|25.333334|0.5847439999999999|-2.2472665000000003
15|15|243|48|9|0.0|0.0|1.2222239|0.20740649|1.2777811000000001|1.2629704|134.85185|127.55556000000001|146.11111|130.88889|-21.88889|33.77778|-11.888889|146.11111|0.12696749999999998|-2.2784278
16|16|33|114|9|0.0|0.0|0.55555516|0.07407411|0.49999985|0.21111098|16.11111|11.777778|24.11111|12.444445|-13.0|24.0|-11.0|24.11111|0.51092404|-2.1490734000000002
17|17|188|42|9|0.0|0.0|0.7777786|0.5443299|1.6666679|1.2649081|108.92593000000001|95.666664|126.22222|104.88888500000002|-39.77778|51.88889|-12.111111|126.22222|0.24193405|-2.4103877999999996
18|18|88|136|9|0.0|0.0|1.8333331000000002|1.149879|2.0555553|2.112573|8.0|4.111111|13.222222|6.666666499999999|-11.666667|15.666667000000002|-4.0|13.222222|0.6950877|-2.412671
19|19|131|214|9|0.0|0.0|0.77777773|0.6518515|1.2777777|0.24074058|6.814814999999999|5.0|4.777777700000001|10.666667|-5.4444447|-6.111111|11.555555|10.666667|0.5681624|2.0583289000000002
20|20|117|181|9|0.11111111|0.0|1.8333334|1.2427571000000002|3.0000007|2.054805|46.88889|43.0|56.88889|40.77778|-11.666667|30.0|-18.333334|56.88889|0.28328654|-1.9490879
21|21|179|162|9|0.0|0.0|1.9444447|1.3074076000000001|14.055556|5.929622|40.296295|34.666668|49.22222|37.0|-16.88889|26.777779|-9.888889|49.22222|0.28965172|-2.3411982000000005
22|22|84|51|9|0.0|0.0|1.7777777|1.6296308000000002|2.6666672|0.88888854|25.74074|22.666666|35.11111|19.444445|-9.222222|28.111109999999996|-18.88889|35.11111|0.44611752|-1.8730316999999999
23|23|146|97|9|0.0|0.0|10.111111|4.597905|0.6111107|0.5741326999999999|47.962963|46.0|54.33333199999999|43.555557|-5.888889|19.11111|-13.222222|54.33333199999999|0.19711515|-1.8407352
24|24|198|185|9|0.0|0.0|1.3333346000000001|1.2292717|2.5|1.656637|50.22222|45.444443|61.33333199999999|43.88889|-14.333332999999998|33.333332|-19.0|61.33333199999999|0.28555444|-2.0071752
25|25|103|130|9|0.0|0.0|0.33333334|0.0|0.27777776|0.38968173|0.7777778000000001|0.0|2.3333334999999997|0.0|-2.3333333|4.6666665|-2.3333333|2.3333334999999997|1.0|-2.0943952
26|26|142|140|9|0.0|0.0|4.222222299999999|1.2938595|1.5|0.7226494000000001|26.444445|23.444445|32.333335999999996|23.555555|-9.0|17.666666|-8.666667|32.333335999999996|0.2850997|-2.1004875
27|27|191|107|9|0.0|0.0|2.0555553|1.5263124|10.333333|3.0110908|29.222221|26.888890000000004|35.88889|24.88889|-7.0|20.0|-13.0|35.88889|0.31155226|-1.8771589
28|28|103|226|9|0.0|0.0|1.7222220000000001|1.7074074000000001|1.6111108|1.7518508000000002|13.481482000000002|10.222222|11.888889|18.333334|-9.777778|-4.777777700000001|14.555554999999998|18.333334|0.44245604|2.3038533
29|29|230|12|9|0.0|0.0|0.88888806|0.27216384|1.611112|0.97562623|119.03703999999999|107.22222|135.33334|114.55556000000001|-35.444443|48.88889|-13.444445000000002|135.33334|0.20767513|-2.368866
30|30|195|136|9|0.0|0.0|1.1666666|0.52222216|1.1666667|0.47777748|2.4444444|0.6666667|5.777777700000001|0.8888889000000001|-5.3333335|10.0|-4.6666665|5.777777700000001|0.9111551999999999|-2.1303394
31|31|19|102|9|0.0|0.0|3.88889|1.5006163000000001|1.1666666|0.62360954|58.370369999999994|50.666668|73.44444|51.0|-23.11111|45.22222|-22.11111|73.44444|0.31701399999999996|-2.1020474
32|32|146|125|9|0.11111111|0.0|0.99999744|0.44444707|2.1666667|1.9444479|69.333336|63.22221999999999|83.111115|61.66666800000001|-18.333334|41.333332|-23.0|83.111115|0.25759940000000003|-2.0195448000000003
33|33|186|89|9|0.0|0.0|0.61111134|0.19629638|1.0555557|0.28518525|22.666666|16.444445|33.555557|18.0|-18.666666|32.666668|-14.0|33.555557|0.5094622|-2.188149
34|34|144|139|9|0.0|0.0|5.5000005|3.9444458|1.3888893|0.5962944|64.666664|57.88889|78.77778|57.33333199999999|-20.333334|42.333332|-22.0|78.77778|0.27568987|-2.065471
35|35|95|47|9|0.0|0.0|0.7222201|0.3296295|1.4999987|0.47777686|107.11111499999998|93.22222|128.77778999999998|99.333336|-41.666668|65.0|-23.333334|128.77778999999998|0.2759571|-2.2710717000000002
36|36|142|112|9|0.0|0.0|1.0555557|0.49065286|0.55555534|0.34426492|28.851852|24.555555|36.22222|25.777779000000002|-12.888889|22.11111|-9.222222|36.22222|0.32174963|-2.2001557000000003
37|37|117|137|9|0.0|0.0|0.22222225|0.07407406|0.6666667|0.17777774|3.1111112000000003|1.5555556000000001|6.3333335|1.4444443999999999|-4.6666665|9.666667|-5.0|6.3333335|0.77248675|-2.0750706
38|38|124|183|9|0.0|0.0|1.7777778000000002|0.4296295|2.2777773999999997|4.196296|18.185184|14.222222|17.11111|23.222220999999998|-11.888889|-3.2222223|15.111111|23.222220999999998|0.38988227|2.4280221
39|39|108|212|9|0.0|0.0|1.9999999|1.4222214|1.5555555|1.9851849999999998|8.037037|6.0|6.777777700000001|11.333333|-6.111111|-3.7777777|9.888889|11.333333|0.51339465|2.2426493
40|40|52|66|9|0.11111111|0.0|1.1666653999999999|0.2555565|1.8333346000000001|2.122228|114.22222|106.88888500000002|128.77778999999998|107.0|-22.0|43.666668|-21.666666|128.77778999999998|0.17412825|-2.0989902000000003
41|41|78|99|9|0.0|0.0|1.611111|8.018517999999998|3.0555553|14.7740755|4.148148|1.1111111999999999|9.0|2.3333334999999997|-9.111111|14.555554999999998|-5.4444447|9.0|0.91089994|-2.2556732000000004
42|42|223|175|9|0.0|0.0|3.7777786|3.1245742|7.166668|4.68923|57.851852|50.77778|72.77778|50.0|-21.222220999999998|44.77778|-23.555555|72.77778|0.31283396|-2.05935
43|43|50|109|9|0.0|0.0|2.222222|1.2296311000000002|1.9999996|5.911112|5.6666665|2.5555556|9.666667|4.777777700000001|-9.333333|12.0|-2.6666667|9.666667|0.7607343000000001|-2.4139923999999997
44|44|136|92|9|0.0|0.0|8.055553999999999|44.774082|1.0|0.17777748|15.407407999999998|11.666667|22.666666|11.888889|-11.222222|21.777779000000002|-10.555555|22.666666|0.53354967|-2.1132734
45|45|150|158|9|0.0|0.0|2.166667|1.6333338|1.388889|0.41851807|8.444445|7.0|12.222222|6.111111|-4.3333335|11.333333|-7.0|12.222222|0.50308645|-1.9434487
46|46|73|103|9|0.0|0.0|1.2777773000000001|0.32962978|1.1111107|1.5407396999999998|18.333334|19.222220999999998|22.555555|13.222222|2.6666667|12.666667|-15.333332999999998|22.555555|0.41030627|-1.3974138
47|47|97|116|9|0.0|0.0|0.72222227|0.1962963|0.5555555|0.20740739|6.6296296|7.5555553|8.444445|3.8888887999999997|2.7777777|5.4444447|-8.222222|8.555555|0.5465168|-1.2339455
48|48|225|222|9|0.11111111|0.0|1.5|0.4777781|1.7777778000000002|1.7185186000000001|14.0|10.777778|13.666667000000002|17.555555|-9.666667|-1.0|10.666667|17.555555|0.38572726|2.5573087
49|49|252|82|9|0.0|0.0|1.0555546999999998|0.41851985|0.77777797|0.47407353|38.88889|34.555557|48.444443|33.666668|-13.0|28.666665999999996|-15.666667000000002|48.444443|0.30387620000000004|-2.028043
50|50|219|134|9|0.0|0.0|0.27777788|0.10740747|0.6666667|0.4444444|4.740741000000001|6.4444447|5.222222299999999|2.5555556|5.111111|1.4444443999999999|-6.5555553|6.4444447|0.6037037|-0.7304648
51|51|212|160|9|0.0|0.0|1.4444441000000001|1.2938602|1.4444443|1.7722134999999999|23.25926|17.777779000000002|23.444445|28.555555|-16.444445|0.5555555999999999|15.888889|28.555555|0.37821564|2.6425967
52|52|124|29|9|0.0|0.0|1.0000013|0.7111076|1.0555534|0.90741664|128.44444|119.22222|142.88889|123.22222|-27.666665999999996|43.333332|-15.666667000000002|142.88889|0.16561614|-2.271128
53|53|230|117|9|0.0|0.0|3.2777786|0.92895794|1.4444433|0.86066324|39.037037|33.555557|49.77778|33.77778|-16.444445|32.22222|-15.777778|49.77778|0.33502588|-2.1062347999999997
54|54|123|136|9|0.0|0.0|0.5555555|1.0962964|0.6666666|1.3333331|1.1111111999999999|0.11111111|3.0|0.22222222|-3.0|5.6666665|-2.6666667|3.0|0.9861110999999999|-2.1109742999999996
55|55|242|57|9|0.0|0.0|1.2222239|0.78518283|1.0000013|0.31111082|92.92593000000001|76.44444|119.33333600000002|83.0|-49.444443|79.22222|-29.777779|119.33333600000002|0.35934293|-2.2542082999999997
56|56|80|72|9|0.0|0.0|1.2222226999999999|1.0036966999999999|1.4444441000000001|1.1674612|59.0|51.333332|74.44444|51.22222|-23.0|46.333332|-23.333334|74.44444|0.31460637|-2.0902212
57|57|83|81|9|0.0|0.0|0.44444337|0.34426504|0.7222214|0.38968188|59.44444300000001|51.88889|74.44444|52.0|-22.666666|45.0|-22.333334|74.44444|0.30741948|-2.0988502999999996
58|58|142|119|9|0.0|0.0|5.277778|0.85418415|1.0555553|0.6116156999999999|45.62963|40.666668|56.0|40.22222|-14.888889|31.111109999999996|-16.222220999999998|56.0|0.2807703|-2.0640383
59|59|51|111|9|0.0|0.0|16.222223|16.443394|0.44444498|0.34426522|34.11111|30.333334000000004|42.22222|29.777779|-11.333333|24.333334|-13.0|42.22222|0.29035455|-2.0057423
60|60|138|203|9|0.0|0.0|1.666667|1.6465453|2.2777781000000004|1.8787308|11.259259|8.777778|8.111112|16.88889|-7.4444447|-9.444445|16.88889|16.88889|0.53894526|2.019747
61|61|196|182|9|0.0|0.0|1.1666664|0.43333244|0.6111107|0.37407404|19.88889|16.88889|18.11111|24.666666|-9.0|-5.3333335|14.333332999999998|24.666666|0.31489658|2.2716928
